50
000;0x2a;0x14;0x3e;00x3:79000,0x33:17
010;00x5;0x25;0x3e;00x4:4000000
020;0x2b;00xa;0x3e;00x5:500,0x34:31
030;0x2c;0x40;0x3f;0x28:3
040;0x2d;0x40;0x3f;0x29:16
050;0x2f;0x14;0x3f;0x2a:400
060;0x30;0x14;0x3f;0x2b:10000
070;0x3f;0x40;0x3e;0x2c:60000
080;0x3d;0x66;0x3f;0x2e:4
090;0x3e;0x66;0x40;0x2d:6
100;0x4b;0x68;0x40;0x2f:1
110;0x4d;0x68;0x40;0x30:1300
120;0x51;0x14;0x41;0x31:3,0x37:41
130;00x6;0x68;0x41;0x32:544
140;00x7;0x52;0x41;0x27:5
150;00xc;00xe;0x42;0x33:6
160;00x9;0x52;0x42;0x35:456
170;00x8;0x66;0x42;0x35:20
180;0x3c;0x14;0x43;0x34:123,0x36:6
190;0x50;0x10;0x43;0x26:1
200;0x4f;0x52;0x43;0x25:16,0x38:12
210;0x4e;00xe;0x43;0x24:25,0x3b:6
220;0x4c;0x10;0x43;0x23:10
230;0x3b;0x14;0x44;0x22:111,0x39:65,0x3a:19
240;0x3a;0x10;0x44;0x21:251,0x3c:8
250;0x39;0x14;0x44;0x1e:500,0x36:789
260;0x38;0x12;0x44;0x1d:23000,0x32:15
270;0x16;00xa;0x44;0x1c:4579,0x31:90
280;0x37;0x10;0x44;0x1b:1659,0x30:13
290;0x36;00xe;0x49;0x1a:23000,0x2f:75
300;0x35;00xe;0x49;0x19:500,0x2e:18
310;0x34;00xe;0x49;0x18:1872,0x29:15
320;0x1c;0x12;0x49;0x17:16458,0x28:49
330;0x33;0x14;0x49;00x2:500,0x26:55
340;0x1a;0x10;0x46;0x16:1122,0x25:0.23
350;0x1d;0x12;0x46;0x15:4811,0x27:51
360;0x32;0x27;0x46;0x14:3695,0x3b:159
370;0x31;0x14;0x4b;0x13:500,0x38:753,0x3d:7,0x3e:9
380;0x1b;00xe;0x67;0x12:16599,0x2a:12
390;0x2e;00xa;0x4b;00x1:100,00x6:56000
400;0x17;00xe;0x4a;0x11:1622,0x23:1.22
410;0x24;0x27;0x4a;0x10:486632,0x24:0.67
420;0x19;0x14;0x4a;00xb:1000000000000,00xf:12121212212,0x37:963,0x39:654,0x3a:789
430;0x23;0x10;0x45;00x7:20000,0x3d:321
440;0x1f;00xe;0x45;00x8:23000,0x3e:22
450;0x18;0x27;0x45;00xa:500,0x3c:654
460;0x22;00xa;0x45;00xc:7855,0x21:5
470;0x1e;0x10;0x45;00xd:23000,0x22:1
480;0x20;0x10;0x45;00x9:6000,0x2b:9
490;0x21;00xe;0x45;00xe:1599,0x2c:56,0x2d:76
