50
000;02a;014;03e;003:79000,033:17
010;005;025;03e;004:4000000
020;02b;00a;03e;005:500,034:31
030;02c;040;03f;028:3
040;02d;040;03f;029:16
050;02f;014;03f;02a:400
060;030;014;03f;02b:10000
070;03f;040;03e;02c:60000
080;03d;066;03f;02e:4
090;03e;066;040;02d:6
100;04b;068;040;02f:1
110;04d;068;040;030:1300
120;051;014;041;031:3,037:41
130;006;068;041;032:544
140;007;052;041;027:5
150;00c;00e;042;033:6
160;009;052;042;035:456
170;008;066;042;035:20
180;03c;014;043;034:123,036:6
190;050;010;043;026:1
200;04f;052;043;025:16,038:12
210;04e;00e;043;024:25,03b:6
220;04c;010;043;023:10
230;03b;014;044;022:111,039:65,03a:19
240;03a;010;044;021:251,03c:8
250;039;014;044;01e:500,036:789
260;038;012;044;01d:23000,032:15
270;016;00a;044;01c:4579,031:90
280;037;010;044;01b:1659,030:13
290;036;00e;049;01a:23000,02f:75
300;035;00e;049;019:500,02e:18
310;034;00e;049;018:1872,029:15
320;01c;012;049;017:16458,028:49
330;033;014;049;002:500,026:55
340;01a;010;046;016:1122,025:0.23
350;01d;012;046;015:4811,027:51
360;032;027;046;014:3695,03b:159
370;031;014;04b;013:500,038:753,03d:7,03e:9
380;01b;00e;067;012:16599,02a:12
390;02e;00a;04b;001:100,006:56000
400;017;00e;04a;011:1622,023:1.22
410;024;027;04a;010:486632,024:0.67
420;019;014;04a;00b:1000000000000,00f:12121212212,037:963,039:654,03a:789
430;023;010;045;007:20000,03d:321
440;01f;00e;045;008:23000,03e:22
450;018;027;045;00a:500,03c:654
460;022;00a;045;00c:7855,021:5
470;01e;010;045;00d:23000,022:1
480;020;010;045;009:6000,02b:9
490;021;00e;045;00e:1599,02c:56,02d:76
